iter	MultiClass
0	1.088712434
1	1.077232716
2	1.066674785
3	1.055453558
4	1.045025878
5	1.032598691
6	1.027762119
7	1.021368934
8	1.008884517
9	1.000578453
10	0.9898876168
11	0.9826184986
12	0.9740619273
13	0.9676453283
14	0.9589286682
15	0.9515737571
16	0.9431942046
17	0.9379393519
18	0.9343922802
19	0.9291017249
20	0.9257001582
21	0.9189289349
22	0.9150266392
23	0.9069803405
24	0.9021412522
25	0.8972878585
26	0.8910823126
27	0.8857799561
28	0.8793681356
29	0.8736698073
30	0.8686151471
31	0.8639959018
32	0.858480666
33	0.8529161891
34	0.8491455308
35	0.8417388455
36	0.8372942907
37	0.8335010769
38	0.8295749467
39	0.82426831
40	0.8199368011
41	0.8167627951
42	0.8122750067
43	0.8105552916
44	0.8065956091
45	0.8036688075
46	0.80071108
47	0.7971974175
48	0.7935243356
49	0.7905406395
50	0.7862464361
51	0.7830275582
52	0.7808254639
53	0.7758772026
54	0.7731772057
55	0.7702727739
56	0.769009682
57	0.764516154
58	0.7609503279
59	0.7573766338
60	0.7543833357
61	0.7515654134
62	0.7483952746
63	0.7451926226
64	0.7430433841
65	0.7387750969
66	0.7351870922
67	0.7327127359
68	0.7308887779
69	0.7285403906
70	0.7248967629
71	0.7228418996
72	0.7213456316
73	0.7190894425
74	0.7169585153
75	0.7153508294
76	0.7130971352
77	0.7100742206
78	0.707967452
79	0.7070607872
80	0.7031839649
81	0.7010199391
82	0.6989609318
83	0.6954402198
84	0.6914081921
85	0.6901916408
86	0.6863292506
87	0.6853404944
88	0.6823108612
89	0.6807918131
90	0.6774994615
91	0.6749775906
92	0.6705731232
93	0.667760407
94	0.6647726396
95	0.6624500274
96	0.6603369385
97	0.6586332799
98	0.6553411122
99	0.6530871587
100	0.6502658264
101	0.6475035914
102	0.6446452908
103	0.6421530702
104	0.6391864187
105	0.637304948
106	0.6349128065
107	0.6333182874
108	0.6317629698
109	0.6291959176
110	0.6263833601
111	0.6252072012
112	0.6210255246
113	0.6179126051
114	0.6163390541
115	0.6136796882
116	0.6110222048
117	0.6089334152
118	0.6070227674
119	0.604467631
120	0.6027897077
121	0.6006092429
122	0.597817424
123	0.5937783032
124	0.5920510753
125	0.5903953804
126	0.5869266465
127	0.5847834959
128	0.5826331384
129	0.579868952
130	0.5786377481
131	0.5757458925
132	0.5740334391
133	0.5717608133
134	0.5705070821
135	0.5679828467
136	0.563043725
137	0.5616782211
138	0.5593642089
139	0.5568628435
140	0.5547508016
141	0.5529705235
142	0.5504370951
143	0.5487295053
144	0.5462771516
145	0.5444120114
146	0.5406498594
147	0.5388837555
148	0.534888776
149	0.5329052597
150	0.5305071159
151	0.5274031923
152	0.5251501814
153	0.5233237338
154	0.5207996006
155	0.5176592402
156	0.5156399983
157	0.5138370926
158	0.512052184
159	0.5091648716
160	0.5076285454
161	0.5057688868
162	0.5040225255
163	0.5017802805
164	0.4986089322
165	0.4959124835
166	0.4938717024
167	0.4919480151
168	0.4898700454
169	0.4877885846
170	0.4864878465
171	0.4838983018
172	0.4817108172
173	0.4797327894
174	0.4775444062
175	0.4761560263
176	0.474001643
177	0.4716234424
178	0.4688648092
179	0.4666131618
180	0.4644271294
181	0.4621595038
182	0.4598927645
183	0.4573687321
184	0.4562793176
185	0.4537576652
186	0.4516577865
187	0.4496547852
188	0.4475286502
189	0.4450820141
190	0.4426085834
191	0.4406776128
192	0.4386428805
193	0.4374110113
194	0.4352977538
195	0.4337185569
196	0.430889816
197	0.4292827781
198	0.4282902436
199	0.4269496718
200	0.4250857527
201	0.423098164
202	0.4214441092
203	0.4192570489
204	0.4174434488
205	0.4160345853
206	0.4140424738
207	0.412407718
208	0.4109673609
209	0.4095366881
210	0.4083230693
211	0.406483225
212	0.4051514817
213	0.4036712128
214	0.4024772342
215	0.4009097021
216	0.3990256152
217	0.3977847291
218	0.3964030267
219	0.3938483257
220	0.3920749244
221	0.3904789078
222	0.3890535225
223	0.3869938712
224	0.3859199141
225	0.3844701157
226	0.3834350034
227	0.3812538575
228	0.3795916915
229	0.3783779208
230	0.3779375572
231	0.3766639376
232	0.3755243931
233	0.374454566
234	0.3727177858
235	0.3716146176
236	0.3698802087
237	0.3690610876
238	0.367639644
239	0.3660188331
240	0.3652343869
241	0.3636986636
242	0.3622882345
243	0.3606072961
244	0.3595725596
245	0.3584206578
246	0.3572083333
247	0.3562364176
248	0.3552885472
249	0.3544683597
250	0.3536421785
251	0.3517189682
252	0.3508418487
253	0.3497061031
254	0.3481047605
255	0.3472108961
256	0.3459054557
257	0.3450576231
258	0.3440713097
259	0.342597732
260	0.3414195728
261	0.3404371085
262	0.3392633155
263	0.3383944997
264	0.3376117654
265	0.337162187
266	0.3367777127
267	0.3358419399
268	0.3349581172
269	0.3338992144
270	0.3330226335
271	0.3317530866
272	0.3306017295
273	0.3291373457
274	0.3278544223
275	0.326943612
276	0.3264156346
277	0.3254248083
278	0.324455055
279	0.323332984
280	0.32210868
281	0.3210067708
282	0.3196782325
283	0.3189228516
284	0.3181634695
285	0.3170625526
286	0.3161783336
287	0.315148032
288	0.3138607811
289	0.3128908571
290	0.3119514809
291	0.3112212793
292	0.3103635215
293	0.3095851623
294	0.3088500957
295	0.3081533987
296	0.3071949541
297	0.3064526742
298	0.3058892064
299	0.3048903756
300	0.3037635089
301	0.3025682554
302	0.3015286729
303	0.3005486093
304	0.2998114089
305	0.2988798669
306	0.2975334756
307	0.2969806558
308	0.2961486652
309	0.2952858799
310	0.2943679397
311	0.2932036622
312	0.2921038814
313	0.2912453856
