iter	MultiClass
0	1.085635773
1	1.074975437
2	1.064854229
3	1.054739324
4	1.043492159
5	1.034311156
6	1.025230259
7	1.014643932
8	1.006066319
9	0.9992086498
10	0.9891410477
11	0.981041965
12	0.9748309071
13	0.9688138737
14	0.9610709387
15	0.9524636147
16	0.9461535019
17	0.9411235626
18	0.93591952
19	0.9289834552
20	0.9237097426
21	0.9182222163
22	0.91455198
23	0.9061010903
24	0.8997250607
25	0.8956748403
26	0.8898369928
27	0.883603212
28	0.877180479
29	0.8721859697
30	0.8685649251
31	0.8641508341
32	0.8608322655
33	0.8566313539
34	0.85316917
35	0.8500411914
36	0.8478569402
37	0.8450722094
38	0.8430430467
39	0.8401876991
40	0.8377392106
41	0.8332705935
42	0.8302651208
43	0.8258096311
44	0.8238625917
45	0.8185598056
46	0.8176457516
47	0.8149859983
48	0.8111789089
49	0.8078175479
50	0.8054400541
51	0.8029393844
52	0.8010287561
53	0.7977994655
54	0.7950734111
55	0.7927897551
56	0.7877939853
57	0.7845626213
58	0.7803732222
59	0.7759217595
60	0.7727509031
61	0.7694001681
62	0.7648358628
63	0.762660119
64	0.7602177195
65	0.7579890181
66	0.7566826339
67	0.7541467786
68	0.7529737216
69	0.7506583267
70	0.7485742643
71	0.7459102637
72	0.7439065436
73	0.7412937349
74	0.74051065
75	0.7392530317
76	0.7362902512
77	0.7346295199
78	0.7325749856
79	0.7295810653
80	0.7258686338
81	0.72220118
82	0.7196821738
83	0.7174941057
84	0.7133858138
85	0.7119770373
86	0.7096608961
87	0.708497322
88	0.7054476034
89	0.7016627751
90	0.6993417862
91	0.6968078584
92	0.6958675174
93	0.6927994449
94	0.6898792786
95	0.6882950693
96	0.6852020968
97	0.6813162919
98	0.6787797678
99	0.6765143286
100	0.6743402656
101	0.6720409436
102	0.6696262038
103	0.6683852072
104	0.6654145511
105	0.6622503305
106	0.660470263
107	0.6562595735
108	0.6540800705
109	0.6527035738
110	0.6505319438
111	0.6486271493
112	0.6452571938
113	0.6431707764
114	0.6397692333
115	0.6374075052
116	0.6357286629
117	0.6338600205
118	0.6312694341
119	0.628186152
120	0.6244998246
121	0.6226978916
122	0.6190398179
123	0.6172772617
124	0.6136502268
125	0.6104548722
126	0.6079516586
127	0.606248295
128	0.6028716952
129	0.600054861
130	0.59628086
131	0.5935009048
132	0.5899982268
133	0.587117455
134	0.5843858329
135	0.5827935173
136	0.5811083498
137	0.5774502459
138	0.57491846
139	0.5728686207
140	0.5706286187
141	0.5683676843
142	0.5652175772
143	0.5630775179
144	0.5618643869
145	0.559622181
146	0.5565048376
147	0.5537434154
148	0.5514301825
149	0.5493012472
150	0.5479841636
151	0.5465190868
152	0.5452099313
153	0.5439270712
154	0.5413200911
155	0.5393075047
156	0.5377076452
157	0.5352489899
158	0.5328295525
159	0.5305933699
160	0.5285023802
161	0.5257450713
162	0.5240863237
163	0.5222349138
164	0.5209213075
165	0.5187746484
166	0.516810105
167	0.5145620841
168	0.5119347685
169	0.5086456
170	0.5059466656
171	0.5021702779
172	0.4998738807
173	0.4971287269
174	0.4956263056
175	0.4941995713
176	0.4913062592
177	0.4893005413
178	0.4859502198
179	0.4837746165
180	0.4807374029
181	0.479127754
182	0.4773322447
183	0.4752964475
184	0.4735050603
185	0.4715631365
186	0.4689283799
187	0.4665411803
188	0.4648832367
189	0.4636159295
190	0.4609016184
191	0.4593717233
192	0.4571962625
193	0.4552987471
194	0.4537609226
195	0.4519729438
196	0.4498330749
197	0.4475307452
198	0.4463584815
199	0.4448051402
200	0.4419155417
201	0.439905119
202	0.4373740009
203	0.4353908805
204	0.4333247579
205	0.431146398
206	0.429346645
207	0.4271479656
208	0.4253747399
209	0.4232163516
210	0.4210324698
211	0.4184655501
212	0.4160536624
213	0.4145441738
214	0.4133460389
215	0.4106663725
216	0.4084665208
217	0.4061876929
218	0.4045983123
219	0.4030549768
220	0.4013502635
221	0.4003987685
222	0.398150498
223	0.3973366645
224	0.3964850626
225	0.3946562701
226	0.3929542788
227	0.3925718627
228	0.3905840976
229	0.3891472221
230	0.3878923136
231	0.3863183453
232	0.3844656716
233	0.3825971018
234	0.3804308303
235	0.3788758757
236	0.3776842886
237	0.3757639914
238	0.3740093923
239	0.3732860593
240	0.3717312036
241	0.3698413041
242	0.3684643577
243	0.3673514148
244	0.366492211
245	0.3651636971
246	0.3642750158
247	0.3630004004
248	0.3622807722
249	0.3606672089
250	0.3591902908
251	0.3582994486
252	0.3570683681
253	0.3554097112
254	0.3544448061
255	0.3531399179
256	0.3523893059
257	0.3510736839
258	0.3490931158
259	0.3482582186
260	0.3473631628
261	0.3466620315
262	0.3456686717
263	0.3444921853
264	0.3428784428
265	0.3413367399
266	0.3397683148
267	0.3384035402
268	0.3368968855
269	0.3360420364
270	0.3351191372
271	0.3342881576
272	0.3332055499
273	0.3324865771
274	0.33154453
275	0.3302665433
276	0.3287350974
277	0.3279498226
278	0.3266246984
279	0.3256943148
280	0.3241617123
281	0.3230048854
282	0.3221314036
283	0.3208922198
284	0.319937886
285	0.3191372456
286	0.3181200293
287	0.3175933311
288	0.316295828
289	0.3148532036
290	0.313589726
291	0.3126495712
292	0.3119967578
293	0.3110458727
294	0.309959609
295	0.3089816062
296	0.30772244
297	0.3066067266
298	0.3059326104
299	0.3043585165
300	0.3035276706
301	0.3022578732
302	0.300962357
303	0.2996066049
304	0.298569997
305	0.2977260525
306	0.2966181591
307	0.2952122465
308	0.2941882578
309	0.2930975926
310	0.2920981161
311	0.291056212
312	0.2903880992
313	0.2885192203
314	0.2873623374
315	0.2863298754
316	0.2854166146
317	0.2845473849
318	0.2836162181
319	0.2828632983
320	0.282268569
321	0.2814969567
322	0.2807681325
323	0.279916489
324	0.2791525123
325	0.2780532778
326	0.276759583
327	0.2758260242
328	0.2751060756
329	0.274050286
330	0.2731448797
331	0.2723824484
332	0.2713311
333	0.2708617559
334	0.2703016909
335	0.2693406949
336	0.2687794055
337	0.2676602521
338	0.266380769
339	0.2654240934
340	0.2646569307
341	0.2634953186
342	0.2626057941
343	0.261782101
344	0.2611063082
345	0.2604159425
346	0.2596975107
347	0.2590886293
348	0.2583870185
349	0.2576230808
350	0.2565286123
351	0.2555752898
352	0.2548778159
353	0.2539116992
354	0.2529598248
355	0.2524538048
356	0.2519032179
357	0.2511533874
358	0.2505102131
359	0.2497072492
360	0.2492168478
361	0.2482863156
362	0.2474616313
363	0.2467117689
364	0.2459028277
365	0.245206261
366	0.2445889849
367	0.2439279948
368	0.2432448195
369	0.2425335017
370	0.2416699403
371	0.2412271591
372	0.2405405456
373	0.239677807
374	0.2393650876
375	0.2388019994
376	0.2380933034
377	0.2372317573
378	0.2364828631
379	0.2358114172
380	0.2355524417
381	0.234819228
382	0.2342931961
383	0.2336772256
384	0.2326247974
385	0.2319800007
386	0.2309574656
387	0.2300979824
388	0.2297183119
389	0.2288519056
390	0.2281578819
391	0.2275952626
392	0.2270659432
393	0.2264828037
394	0.2258603206
395	0.2252460853
396	0.224715667
397	0.224100306
398	0.2233808441
399	0.2230087165
400	0.2225931989
401	0.2218083905
402	0.2211402526
403	0.2204427174
404	0.2198493931
405	0.2193330204
406	0.218781641
407	0.2183774717
408	0.2174884095
409	0.2168550701
410	0.2162556215
411	0.2158079336
412	0.2152211996
413	0.2146274593
414	0.2142000533
415	0.2136062804
416	0.2131709762
417	0.2126482053
418	0.2120003713
419	0.2113932811
420	0.2105845527
421	0.2095828719
422	0.2087299141
423	0.2079967769
424	0.2075258918
425	0.2071203177
426	0.2064401842
427	0.2055872559
428	0.2047342115
429	0.204180285
430	0.203892307
431	0.2034262347
432	0.2027136958
433	0.2023956552
434	0.2017786966
435	0.2014259104
436	0.2010007362
437	0.2003547245
438	0.1997183428
439	0.1989509336
440	0.1984302396
441	0.1980242631
442	0.1975422553
443	0.1971621815
